text,mental_health_risk,substance_abuse,harassment,cyberbullying,self_harm,adult_content,online_predator
I bought groceries today,0,0,0,0,0,0,0
I don't deserve to live,0,0,0,0,1,0,0
Did you finish the assignment?,0,0,0,0,0,0,0
I feel so alone and hopeless,1,0,0,0,0,0,0
I've been drinking more lately please help,0,1,0,0,0,0,0
Looking for explicit pics,0,0,0,0,0,1,0
"Hey, are you coming later?",0,0,0,0,0,0,0
Let's meet tomorrow,0,0,0,0,0,0,0
I feel so alone and hopeless Looking for explicit pics,1,0,0,0,0,1,0
I cut myself last night,0,0,0,0,1,0,0
I've been drinking more lately,0,1,0,0,0,0,0
Where do you live? Send a photo of your room,0,0,0,0,0,0,1
Are you up for adult chat?,0,0,0,0,0,1,0
Are you up for adult chat? You're useless and pathetic,0,0,1,0,0,1,0
Post it and watch them suffer,0,0,0,1,0,0,0
I will make your life miserable Let's troll that account all night,0,0,1,1,0,0,0
Everything feels pointless,1,0,0,0,0,0,0
Looking for explicit pics please help,0,0,0,0,0,1,0
Everything feels pointless I want to end it all,1,0,0,0,1,0,0
You're useless and pathetic please help,0,0,1,0,0,0,0
Spread this photo and shame them,0,0,0,1,0,0,0
I will make your life miserable I feel so alone and hopeless,1,0,1,0,0,0,0
Everything feels pointless please help,1,0,0,0,0,0,0
I will make your life miserable,0,0,1,0,0,0,0
Let's troll that account all night Post it and watch them suffer,0,0,0,1,0,0,0
I need something to calm me down Spread this photo and shame them,0,1,0,1,0,0,0
I used pills to sleep last night Spread this photo and shame them please help,0,1,0,1,0,0,0
I don't deserve to live Send nudes,0,0,0,0,1,1,0
I need something to calm me down Everything feels pointless,1,1,0,0,0,0,0
Send a photo of your room,0,0,0,0,0,0,1
I want to end it all,0,0,0,0,1,0,0
I've been drinking more lately I've been drinking more lately,0,1,0,0,0,0,0
Looking for explicit pics I will make your life miserable,0,0,1,0,0,1,0
I need something to calm me down You're useless and pathetic,0,1,1,0,0,0,0
I need something to calm me down,0,1,0,0,0,0,0
Where do you live?,0,0,0,0,0,0,1
Let's troll that account all night please help,0,0,0,1,0,0,0
I used pills to sleep last night,0,1,0,0,0,0,0
I don't think I can keep going,1,0,0,0,0,0,0
Are you up for adult chat? I want to end it all,0,0,0,0,1,1,0
Nobody likes you,0,0,1,0,0,0,0
I've been drinking more lately Where do you live?,0,1,0,0,0,0,1
Post it and watch them suffer Send a photo of your room,0,0,0,1,0,0,1
Looking for explicit pics Send nudes please help,0,0,0,0,0,1,0
I feel so alone and hopeless Can you meet me alone?,1,0,0,0,0,0,1
Let's troll that account all night,0,0,0,1,0,0,0
Everything feels pointless Send a photo of your room,1,0,0,0,0,0,1
Nobody likes you Post it and watch them suffer,0,0,1,1,0,0,0
I don't deserve to live Where do you live?,0,0,0,0,1,0,1
You're useless and pathetic I want to end it all,0,0,1,0,1,0,0
I cut myself last night I've been drinking more lately please help,0,1,0,0,1,0,0
Can you meet me alone? please help,0,0,0,0,0,0,1
I don't think I can keep going please help,1,0,0,0,0,0,0
Send nudes,0,0,0,0,0,1,0
I feel so alone and hopeless Are you up for adult chat?,1,0,0,0,0,1,0
I will make your life miserable I want to end it all,0,0,1,0,1,0,0
You're useless and pathetic,0,0,1,0,0,0,0
I want to end it all I used pills to sleep last night please help,0,1,0,0,1,0,0
Post it and watch them suffer please help,0,0,0,1,0,0,0
I don't deserve to live I don't think I can keep going please help,1,0,0,0,1,0,0
You're useless and pathetic Where do you live?,0,0,1,0,0,0,1
I want to end it all I cut myself last night,0,0,0,0,1,0,0
Let's troll that account all night Let's troll that account all night please help,0,0,0,1,0,0,0
Are you up for adult chat? Where do you live?,0,0,0,0,0,1,1
I don't think I can keep going Where do you live?,1,0,0,0,0,0,1
I will make your life miserable please help,0,0,1,0,0,0,0
Can you meet me alone?,0,0,0,0,0,0,1
I've been drinking more lately Looking for explicit pics please help,0,1,0,0,0,1,0
I want to end it all Spread this photo and shame them,0,0,0,1,1,0,0
Are you up for adult chat? Send a photo of your room,0,0,0,0,0,1,1
Are you up for adult chat? please help,0,0,0,0,0,1,0
I need something to calm me down Send nudes please help,0,1,0,0,0,1,0
I will make your life miserable Are you up for adult chat?,0,0,1,0,0,1,0
Send nudes Looking for explicit pics,0,0,0,0,0,1,0
Looking for explicit pics Send nudes,0,0,0,0,0,1,0
You're useless and pathetic Send a photo of your room,0,0,1,0,0,0,1
I need something to calm me down I cut myself last night,0,1,0,0,1,0,0
I used pills to sleep last night I don't think I can keep going,1,1,0,0,0,0,0
Everything feels pointless I've been drinking more lately,1,1,0,0,0,0,0
I don't think I can keep going Are you up for adult chat?,1,0,0,0,0,1,0
I want to end it all Nobody likes you,0,0,1,0,1,0,0
Looking for explicit pics I've been drinking more lately,0,1,0,0,0,1,0
Send nudes please help,0,0,0,0,0,1,0
I don't think I can keep going Nobody likes you,1,0,1,0,0,0,0
Can you meet me alone? Send nudes,0,0,0,0,0,1,1
Send a photo of your room Spread this photo and shame them,0,0,0,1,0,0,1
Send nudes Let's troll that account all night,0,0,0,1,0,1,0
I feel so alone and hopeless please help,1,0,0,0,0,0,0
Send a photo of your room please help,0,0,0,0,0,0,1
I feel so alone and hopeless Spread this photo and shame them,1,0,0,1,0,0,0
I cut myself last night I cut myself last night,0,0,0,0,1,0,0
I will make your life miserable Nobody likes you please help,0,0,1,0,0,0,0
Where do you live? Send nudes,0,0,0,0,0,1,1
I don't think I can keep going I want to end it all,1,0,0,0,1,0,0
I feel so alone and hopeless I've been drinking more lately,1,1,0,0,0,0,0
I don't deserve to live I will make your life miserable,0,0,1,0,1,0,0
I want to end it all Looking for explicit pics please help,0,0,0,0,1,1,0
I've been drinking more lately I used pills to sleep last night,0,1,0,0,0,0,0
Can you meet me alone? I want to end it all,0,0,0,0,1,0,1
Let's troll that account all night Nobody likes you,0,0,1,1,0,0,0
I used pills to sleep last night Where do you live?,0,1,0,0,0,0,1
I don't think I can keep going Send nudes,1,0,0,0,0,1,0
Post it and watch them suffer I used pills to sleep last night,0,1,0,1,0,0,0
Send a photo of your room Nobody likes you,0,0,1,0,0,0,1
I want to end it all Send nudes,0,0,0,0,1,1,0
I cut myself last night Let's troll that account all night please help,0,0,0,1,1,0,0
Spread this photo and shame them I will make your life miserable,0,0,1,1,0,0,0
I need something to calm me down Looking for explicit pics,0,1,0,0,0,1,0
Where do you live? Post it and watch them suffer,0,0,0,1,0,0,1
I want to end it all Post it and watch them suffer,0,0,0,1,1,0,0
Spread this photo and shame them please help,0,0,0,1,0,0,0
Post it and watch them suffer You're useless and pathetic please help,0,0,1,1,0,0,0
Post it and watch them suffer Post it and watch them suffer,0,0,0,1,0,0,0
I don't think I can keep going I don't deserve to live,1,0,0,0,1,0,0
Nobody likes you Where do you live?,0,0,1,0,0,0,1
Are you up for adult chat? I don't deserve to live please help,0,0,0,0,1,1,0
Let's troll that account all night Can you meet me alone?,0,0,0,1,0,0,1
Are you up for adult chat? Everything feels pointless please help,1,0,0,0,0,1,0
I will make your life miserable I need something to calm me down please help,0,1,1,0,0,0,0
Everything feels pointless I need something to calm me down,1,1,0,0,0,0,0
Where do you live? I will make your life miserable,0,0,1,0,0,0,1
I want to end it all I feel so alone and hopeless,1,0,0,0,1,0,0
Are you up for adult chat? Nobody likes you,0,0,1,0,0,1,0
Let's troll that account all night Send nudes,0,0,0,1,0,1,0
I cut myself last night I want to end it all,0,0,0,0,1,0,0
Where do you live? I don't deserve to live,0,0,0,0,1,0,1
I've been drinking more lately I don't think I can keep going,1,1,0,0,0,0,0
Everything feels pointless You're useless and pathetic,1,0,1,0,0,0,0
I want to end it all Can you meet me alone?,0,0,0,0,1,0,1
Looking for explicit pics I don't think I can keep going,1,0,0,0,0,1,0
I used pills to sleep last night Send nudes,0,1,0,0,0,1,0
I want to end it all You're useless and pathetic,0,0,1,0,1,0,0
I don't deserve to live please help,0,0,0,0,1,0,0
Let's troll that account all night I want to end it all,0,0,0,1,1,0,0
Let's troll that account all night Looking for explicit pics,0,0,0,1,0,1,0
I used pills to sleep last night I want to end it all,0,1,0,0,1,0,0
I want to end it all Where do you live?,0,0,0,0,1,0,1
Nobody likes you Spread this photo and shame them,0,0,1,1,0,0,0
Let's troll that account all night Where do you live?,0,0,0,1,0,0,1
I feel so alone and hopeless Everything feels pointless,1,0,0,0,0,0,0
I need something to calm me down I don't think I can keep going please help,1,1,0,0,0,0,0
I cut myself last night Can you meet me alone?,0,0,0,0,1,0,1
Where do you live? Spread this photo and shame them,0,0,0,1,0,0,1
Everything feels pointless Where do you live?,1,0,0,0,0,0,1
I will make your life miserable You're useless and pathetic,0,0,1,0,0,0,0
I need something to calm me down please help,0,1,0,0,0,0,0
Where do you live? please help,0,0,0,0,0,0,1
I used pills to sleep last night Let's troll that account all night,0,1,0,1,0,0,0
Send a photo of your room You're useless and pathetic,0,0,1,0,0,0,1
Nobody likes you I want to end it all,0,0,1,0,1,0,0
I don't think I can keep going Send a photo of your room,1,0,0,0,0,0,1
I want to end it all please help,0,0,0,0,1,0,0
Spread this photo and shame them I need something to calm me down please help,0,1,0,1,0,0,0
Looking for explicit pics Looking for explicit pics,0,0,0,0,0,1,0
You're useless and pathetic I will make your life miserable,0,0,1,0,0,0,0
Everything feels pointless Everything feels pointless,1,0,0,0,0,0,0
Nobody likes you I need something to calm me down,0,1,1,0,0,0,0
Looking for explicit pics Where do you live?,0,0,0,0,0,1,1
I need something to calm me down I feel so alone and hopeless,1,1,0,0,0,0,0
Are you up for adult chat? Send a photo of your room please help,0,0,0,0,0,1,1
Where do you live? You're useless and pathetic,0,0,1,0,0,0,1
Nobody likes you Everything feels pointless please help,1,0,1,0,0,0,0
I've been drinking more lately Looking for explicit pics,0,1,0,0,0,1,0
Send nudes I don't deserve to live,0,0,0,0,1,1,0
I cut myself last night Everything feels pointless please help,1,0,0,0,1,0,0
Looking for explicit pics Let's troll that account all night,0,0,0,1,0,1,0
I need something to calm me down Where do you live?,0,1,0,0,0,0,1
I don't deserve to live Looking for explicit pics,0,0,0,0,1,1,0
Send nudes Post it and watch them suffer please help,0,0,0,1,0,1,0
Looking for explicit pics I feel so alone and hopeless,1,0,0,0,0,1,0
I want to end it all I've been drinking more lately,0,1,0,0,1,0,0
Nobody likes you please help,0,0,1,0,0,0,0
I feel so alone and hopeless I don't deserve to live,1,0,0,0,1,0,0
Spread this photo and shame them Send nudes,0,0,0,1,0,1,0
Where do you live? Nobody likes you,0,0,1,0,0,0,1
I've been drinking more lately Spread this photo and shame them,0,1,0,1,0,0,0
I feel so alone and hopeless I will make your life miserable,1,0,1,0,0,0,0
Where do you live? Can you meet me alone?,0,0,0,0,0,0,1
Everything feels pointless I will make your life miserable,1,0,1,0,0,0,0
Spread this photo and shame them Let's troll that account all night,0,0,0,1,0,0,0
I don't deserve to live I used pills to sleep last night,0,1,0,0,1,0,0
Send nudes I cut myself last night,0,0,0,0,1,1,0
I don't deserve to live I don't think I can keep going,1,0,0,0,1,0,0
I need something to calm me down I will make your life miserable please help,0,1,1,0,0,0,0
